-150,-150,0
-150,-150,0
-148.8215,-148.8215,0
-147.6295,-147.6295,0
-146.9029,-146.9029,0
-146.1414,-146.1414,0
-145.4137,-145.4137,0
-144.6522,-144.6522,0
-143.8908,-143.8908,0
-143.1281,-143.1281,0
-142.3918,-142.3918,0
-141.683,-141.683,0
-140.9577,-140.9577,0
-140.2393,-140.2393,0
-139.4767,-139.4767,0
-138.7019,-138.7019,0
-137.9877,-137.9877,0
-137.2275,-137.2275,0
-136.4661,-136.4661,0
-135.7046,-135.7046,0
-134.9432,-134.9432,0
-150,-150,0
-150,-150,0
-145.2859,-145.2859,0
-140.1084,-140.1084,0
-137.0626,-137.0626,0
-134.0169,-134.0169,0
-130.9712,-130.9712,0
-128.3507,-128.2014,0
-126.5,-124.8373,0
-125.5,-121.5,0
-123.5,-118.5,0
-122.0315,-115.0315,0
-120.5,-111.8425,0
-118.7966,-108.7966,0
-116.6486,-105.7229,0
-115.0556,-102.6112,0
-113.5529,-99.55286,0
-112.5,-96.50604,0
-111.2705,-94.27048,0
-109.5,-91.5,0
-107.7669,-88.40028,0
-105.3011,-85.23475,0
-102.7168,-81.78907,0
-100.4543,-79.10575,0
-97.79978,-75.79978,0
-95.31071,-72.58095,0
-92.90384,-69.70512,0
-90.5,-66.5,0
-87.90816,-63.37756,0
-85.5,-60.5,0
-82.95525,-57.31906,0
-80.5,-54.5,0
-78.25669,-51.25669,0
-75.71159,-48.11545,0
-73.5,-45.17199,0
-72.5,-41.5,0
-71.5,-37.5,0
-70.55698,-33.67095,0
-69.85788,-29.93151,0
-68.98119,-25.94357,0
-68.18567,-22.55701,0
-67.33657,-18.51944,0
-66.62707,-14.26237,0
-64.20747,-11.10779,0
-61.2272,-7.997934,0
-58.24494,-4.886011,0
-55.26669,-1.77827,0
-52.27596,1.34249,0
-49.3057,4.441885,0
-46.32585,7.551286,0
-43.5,10.5,0
-43.23122,14.5317,0
-42.94566,18.81495,0
-42.65908,23.11381,0
-42.73297,26.73297,0
-45.10491,28.90123,0
-48.73578,29.73578,0
-51.45818,32.4334,1.115422
-54.30082,35.24006,2.734646
-57.1415,38.04477,4.352751
-59.98471,40.85199,5.972302
-62.82262,43.65398,7.588834
-65.66456,46.45993,9.207654
-68.30493,49.06688,10.71167
-71.14771,51.87369,12.33098
-73.98836,54.67838,13.94907
-76.82483,57.47894,15.56478
-79.66458,60.28272,17.18235
-82.50241,63.08463,18.79883
-85.34522,65.89146,20.41816
-88.18694,68.69723,22.03686
-91.02421,71.49857,23.65303
-93.86546,74.30385,25.27146
-96.7054,77.10784,26.88914
-99.546,79.9125,28.50722
-102.3866,82.71713,30.12527
-105.2284,85.52296,31.74402
-108.0678,88.32642,33.3614
